"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000146072",1758.22981855472,2.0591037836308,0.0612035449531719,33.6435378899418,3.87594032607227e-248,1.10727863235232e-245,"TNFRSF21","27242","TNF receptor superfamily member 21"
"ENSG00000140943",1848.88777327798,-1.89362333290775,0.0565632962014743,-33.4779523131538,1.00917538629565e-245,2.82648259173473e-243,"MBTPS1","8720","membrane bound transcription factor peptidase, site 1"
"ENSG00000145632",3262.15452178144,1.54676432889383,0.0463515717203117,33.3702671017738,3.70264273481958e-244,1.01708747738775e-241,"PLK2","10769","polo like kinase 2"
"ENSG00000081923",1549.06690179341,-2.52988568426482,0.0760228957440215,-33.27794422332,8.05106651354257e-243,2.1698383788574e-240,"ATP8B1","5205","ATPase phospholipid transporting 8B1"
"ENSG00000102024",3591.26703399212,-1.70353392754085,0.0513431865490172,-33.1793572242443,2.13722641512849e-241,5.65335965068432e-239,"PLS3","5358","plastin 3"
"ENSG00000168542",62749.3849250663,1.40988661053552,0.0425123480141612,33.1641670336786,3.53902549604399e-241,9.1911709428168e-239,"COL3A1","1281","collagen type III alpha 1 chain"
"ENSG00000135046",4581.91768778281,-1.46399466724055,0.044374216659991,-32.992011520071,1.05745664651601e-238,2.69726977479191e-236,"ANXA1","301","annexin A1"
"ENSG00000163346",2917.79069939981,1.81055551635061,0.0549865274289112,32.9272569301885,8.9541337344408e-238,2.24387449583776e-235,"PBXIP1","57326","PBX homeobox interacting protein 1"
"ENSG00000187678",2363.67043987816,1.72414444477806,0.0524738374519408,32.8572204454678,8.98280620291721e-237,2.21224834142189e-234,"SPRY4","81848","sprouty RTK signaling antagonist 4"
"ENSG00000163017",4893.9021785664,-1.87093377751817,0.0572730485360879,-32.6669144622062,4.6097447274859e-234,1.11602701165099e-231,"ACTG2","72","actin gamma 2, smooth muscle"
"ENSG00000104321",7567.20986030082,3.29744633697211,0.101231296318793,32.5733884369904,9.76966579472213e-233,2.32583177019685e-230,"TRPA1","8989","transient receptor potential cation channel subfamily A member 1"
"ENSG00000143341",2279.33849385387,2.0571981857018,0.063193731602927,32.553833007173,1.84797782199371e-232,4.32729757530463e-230,"HMCN1","83872","hemicentin 1"
"ENSG00000152894",4900.8667898464,1.68613245909683,0.0519367638205989,32.4651043896594,3.31597358040017e-231,7.63957526168323e-229,"PTPRK","5796","protein tyrosine phosphatase receptor type K"
"ENSG00000115461",200904.539632615,1.27117311904358,0.0396845975529994,32.0319014788019,3.9227534377906e-225,8.8940650960954e-223,"IGFBP5","3488","insulin like growth factor binding protein 5"
"ENSG00000113721",11145.9451572206,1.38866753251573,0.0435171940468611,31.9107783240885,1.89245380703208e-223,4.22372034056973e-221,"PDGFRB","5159","platelet derived growth factor receptor beta"
"ENSG00000173334",1074.47707273372,2.41257545370754,0.0757341736422929,31.8558365091907,1.09279192586193e-222,2.40145228754028e-220,"TRIB1","10221","tribbles pseudokinase 1"
"ENSG00000171951",793.124579134863,2.98015959451027,0.0940451012615777,31.688621252278,2.22914838872859e-220,4.82441751281806e-218,"SCG2","7857","secretogranin II"
"ENSG00000153234",635.93920101828,4.3263480988988,0.136610400844863,31.6692438653473,4.12095538230952e-220,8.7856308478969e-218,"NR4A2","4929","nuclear receptor subfamily 4 group A member 2"
"ENSG00000164924",9585.69435022083,-1.33707797988876,0.0423107748458288,-31.6013588680609,3.53673461312825e-219,7.4292231196947e-217,"YWHAZ","7534","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta"
"ENSG00000134057",780.375869741297,-2.66978468008776,0.0847341467246862,-31.5077779535833,6.79701748318033e-218,1.40708112651808e-215,"CCNB1","891","cyclin B1"
"ENSG00000160014",4226.55595021453,-1.42458988840312,0.0453448571987217,-31.4167907103539,1.19347160646331e-216,2.43536406096028e-214,"CALM3","808","calmodulin 3"
"ENSG00000148175",3890.72249473237,1.38275478783332,0.0441316543533596,31.3324938322431,1.68496877525566e-215,3.38987239235941e-213,"STOM","2040","stomatin"
"ENSG00000164761",5291.78842553364,1.48921956040805,0.0478706794802254,31.1092212723494,1.80740002774545e-212,3.58568083282166e-210,"TNFRSF11B","4982","TNF receptor superfamily member 11b"
"ENSG00000135074",13374.6004179129,1.14189327210656,0.0370609329511327,30.811239253265,1.8528883333047e-208,3.62556944560608e-206,"ADAM19","8728","ADAM metallopeptidase domain 19"
"ENSG00000105088",793.128211520276,2.86561519939479,0.0930575548506464,30.7940091913439,3.15199316182977e-208,6.08419869237519e-206,"OLFM2","93145","olfactomedin 2"
"ENSG00000127920",2352.92723869813,2.10487366309738,0.068791459442008,30.5978922408503,1.30558539536507e-205,2.48653090498596e-203,"GNG11","2791","G protein subunit gamma 11"
"ENSG00000183287",603.48721362449,-3.43617069175193,0.112468735107283,-30.5522302573617,5.28176182955613e-205,9.92693236491839e-203,"CCBE1","147372","collagen and calcium binding EGF domains 1"
"ENSG00000092820",1475.49048809515,-1.91025814279374,0.0625570444954826,-30.5362594764477,8.60718159160739e-205,1.59668807603273e-202,"EZR","7430","ezrin"
"ENSG00000130513",4665.52215751242,4.22670314152856,0.139333107448276,30.3352391899939,3.93391564265456e-202,7.20410910765098e-200,"GDF15","9518","growth differentiation factor 15"
"ENSG00000128591",23487.8410667789,-1.33083378018314,0.0439345627752468,-30.2912717486503,1.49375601264569e-201,2.70086213729507e-199,"FLNC","2318","filamin C"
"ENSG00000068489",527.868372422255,-3.2831435575262,0.108845932628561,-30.1632176622529,7.1969551238877e-200,1.28501633737015e-197,"PRR11","55771","proline rich 11"
"ENSG00000076513",2351.57847713981,-1.94451331616397,0.0647558430823071,-30.0283839049461,4.18241182066208e-198,7.37550252423915e-196,"ANKRD13A","88455","ankyrin repeat domain 13A"
"ENSG00000112984",587.875352632019,-3.36380033202439,0.112173073021659,-29.9875918650717,1.42439389503399e-197,2.48122468252018e-195,"KIF20A","10112","kinesin family member 20A"
"ENSG00000171246",11339.2021259297,1.74022259695756,0.0580572637650142,29.9742441187219,2.12626793138869e-197,3.65923025686217e-195,"NPTX1","4884","neuronal pentraxin 1"
"ENSG00000176014",5059.66070673934,-1.58286141704532,0.0531269243738791,-29.7939591967714,4.67799890190345e-195,7.95482575176057e-193,"TUBB6","84617","tubulin beta 6 class V"
"ENSG00000089159",2841.04018824034,-1.52006113554798,0.0510350530347361,-29.7846488865874,6.17512998479673e-195,1.03771243179808e-192,"PXN","5829","paxillin"
"ENSG00000133818",917.65645300902,-2.58025219948032,0.0868671501205824,-29.7034286942602,6.93434008157558e-194,1.15174550843286e-191,"RRAS2","22800","RAS related 2"
"ENSG00000066279",593.333577786577,-3.10045023834981,0.104759882026042,-29.5957782539223,1.69338777089586e-192,2.78027022062948e-190,"ASPM","259266","assembly factor for spindle microtubules"
"ENSG00000003436",3855.53263789867,1.537390445398,0.05194769946116,29.594966886791,1.73459019422536e-192,2.81555526526307e-190,"TFPI","7035","tissue factor pathway inhibitor"
"ENSG00000171617",3172.76514957676,1.72302577496206,0.0583200748049677,29.5442998096994,7.77324465961964e-192,1.24756209795513e-189,"ENC1","8507","ectodermal-neural cortex 1"
"ENSG00000111615",1215.27891511062,1.95675492493372,0.0662579429407592,29.5323826561178,1.10574359883003e-191,1.75493795174312e-189,"KRR1","11103","KRR1 small subunit processome component homolog"
"ENSG00000173546",2782.7113944163,-1.70833552853867,0.0578661700106115,-29.5221807184646,1.4949582146801e-191,2.34659155368028e-189,"CSPG4","1464","chondroitin sulfate proteoglycan 4"
"ENSG00000116991",845.465812777274,2.42018613179681,0.0821162589641359,29.4726788863314,6.44915693296747e-191,1.00130171337508e-188,"SIPA1L2","57568","signal induced proliferation associated 1 like 2"
"ENSG00000116729",14027.992136521,1.6756949360909,0.0570209913671643,29.387334311691,7.97210821812474e-190,1.22444724502897e-187,"WLS","79971","Wnt ligand secretion mediator"
"ENSG00000156011",1865.6956706154,1.74119092953392,0.0594424089686987,29.2920653745846,1.30889125955041e-188,1.98895773951255e-186,"PSD3","23362","pleckstrin and Sec7 domain containing 3"
"ENSG00000122641",8425.96553258607,1.391330961499,0.0475387909154345,29.2672769901532,2.70694529343051e-188,4.07010595488014e-186,"INHBA","3624","inhibin subunit beta A"
"ENSG00000134250",3989.90689953644,-1.35593457008839,0.0464453489827265,-29.1941948932858,2.29784918067458e-187,3.41900809341205e-185,"NOTCH2","4853","notch receptor 2"
"ENSG00000064666",5624.42477846777,-1.64272341429349,0.0562762093220762,-29.1903707460459,2.56957323132965e-187,3.78389526147554e-185,"CNN2","1265","calponin 2"
"ENSG00000159399",1648.34458773227,1.92240273084495,0.0659911921381318,29.1312017340284,1.44570047645514e-186,2.10718220466175e-184,"HK2","3099","hexokinase 2"
"ENSG00000157557",2128.88768598769,1.84664368140521,0.0637345956173467,28.9739609001709,1.40084473553436e-184,2.02117840428008e-182,"ETS2","2114","ETS proto-oncogene 2, transcription factor"
"ENSG00000065911",1563.07540926849,-1.94825259260632,0.0673542044532212,-28.9254784971801,5.7104518418719e-184,8.15680941092981e-182,"MTHFD2","10797","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase"
"ENSG00000145147",601.510428483162,-2.68633644019842,0.0929141787430694,-28.9120183435813,8.4318254326938e-184,1.19247717307523e-181,"SLIT2","9353","slit guidance ligand 2"
"ENSG00000171444",1285.81453923875,1.85634348668361,0.0644040302646212,28.8234056014247,1.09193626895276e-182,1.52913898683542e-180,"MCC","4163","MCC regulator of WNT signaling pathway"
"ENSG00000088448",1041.5088322989,2.36780029942511,0.0822233334514496,28.7971820167475,2.32651101969044e-182,3.22639644711245e-180,"ANKRD10","55608","ankyrin repeat domain 10"
"ENSG00000103257",3712.52147667185,-1.5076338910001,0.0524474774279663,-28.7455939720028,1.02822397140981e-181,1.41222607765555e-179,"SLC7A5","8140","solute carrier family 7 member 5"
"ENSG00000108932",593.620514665934,3.86328538567559,0.134544567944618,28.7137968086963,2.56628655753742e-181,3.4911273512252e-179,"SLC16A6","9120","solute carrier family 16 member 6"
"ENSG00000182481",2566.38058699848,-1.61374784400699,0.0564049541866087,-28.6100373145967,5.04013172031342e-180,6.79181523518461e-178,"KPNA2","3838","karyopherin subunit alpha 2"
"ENSG00000136153",4620.22110366109,-1.40311885618955,0.0490910712628669,-28.5819563536575,1.12617822190209e-179,1.50339530108873e-177,"LMO7","4008","LIM domain 7"
"ENSG00000171848",822.67379311788,-2.53281408211586,0.0886547877133196,-28.5693998874166,1.61297076580184e-179,2.13330318691791e-177,"RRM2","6241","ribonucleotide reductase regulatory subunit M2"
"ENSG00000108829",3850.57518186778,-1.47515519518263,0.0517385562472865,-28.5117193477929,8.38402932968375e-179,1.09869243068993e-176,"LRRC59","55379","leucine rich repeat containing 59"
"ENSG00000155903",1023.35613415789,2.05089581830915,0.0722442383282719,28.3883651591709,2.81486835347535e-177,3.65523450554926e-175,"RASA2","5922","RAS p21 protein activator 2"
"ENSG00000135318",10396.875971113,-1.18099895238807,0.0416047307956991,-28.3861697888971,2.99610527411967e-177,3.85552862482211e-175,"NT5E","4907","5'-nucleotidase ecto"
"ENSG00000117399",548.054729960495,-3.23346207096306,0.114056756682485,-28.3495880911683,8.46842666292022e-177,1.08002684333172e-174,"CDC20","991","cell division cycle 20"
"ENSG00000141429",3588.58297366052,1.50607841599121,0.053445314773357,28.1798025210998,1.03408700889127e-174,1.30715918893831e-172,"GALNT1","2589","polypeptide N-acetylgalactosaminyltransferase 1"
"ENSG00000135926",1251.33626199858,-1.85342858127903,0.0658078221287229,-28.1642595260734,1.60311240707922e-174,2.00867172129119e-172,"TMBIM1","64114","transmembrane BAX inhibitor motif containing 1"
"ENSG00000100345",41759.3349472728,-1.22519404365887,0.0435361820650075,-28.14197262014,3.00471430624809e-174,3.73211644786502e-172,"MYH9","4627","myosin heavy chain 9"
"ENSG00000091039",4444.70184434491,1.57257059769795,0.0560252397019153,28.0689668810857,2.34444574423088e-173,2.88690198367189e-171,"OSBPL8","114882","oxysterol binding protein like 8"
"ENSG00000038427",13753.9971136825,1.28376997385797,0.0457675889840802,28.0497619025665,4.02132407887225e-173,4.90945240535138e-171,"VCAN","1462","versican"
"ENSG00000185112",747.773002441521,2.65529143557057,0.0948047315353867,28.0080054293435,1.29809714292702e-172,1.5713575923364e-170,"FAM43A","131583","family with sequence similarity 43 member A"
"ENSG00000103449",1051.52143130918,2.35381922865709,0.0842399716945034,27.9418330907474,8.28481810855755e-172,9.94456654307866e-170,"SALL1","6299","spalt like transcription factor 1"
"ENSG00000057657",689.791384929011,2.83416576672417,0.101462370907976,27.9331710994088,1.05563582587765e-171,1.25655851140303e-169,"PRDM1","639","PR/SET domain 1"
"ENSG00000173801",2853.13714423843,1.54852731542221,0.0555117181990588,27.8955032497708,3.02515486973685e-171,3.5711828230844e-169,"JUP","3728","junction plakoglobin"
"ENSG00000163661",1909.80217231797,-1.64965606765422,0.0591678103382338,-27.8809720728879,4.53910983041068e-171,5.3144790834087e-169,"PTX3","5806","pentraxin 3"
"ENSG00000172795",852.701537725169,2.13209114386569,0.0767688295972429,27.7728754632761,9.22591694853269e-170,1.07140648530765e-167,"DCP2","167227","decapping mRNA 2"
"ENSG00000109685",1268.17937848349,-1.89111766967691,0.0681320674419958,-27.7566458890583,1.44863939271239e-169,1.66873911979869e-167,"NSD2","7468","nuclear receptor binding SET domain protein 2"
"ENSG00000184838",1048.67798618006,2.27794656648186,0.0822075761306546,27.7096914141036,5.33617895389111e-169,6.09775841419045e-167,"PRR16","51334","proline rich 16"
"ENSG00000147065",17820.4971549208,-1.03011640059763,0.0372009166840279,-27.6906187378954,9.05677132935409e-169,1.0267216005436e-166,"MSN","4478","moesin"
"ENSG00000166510",570.336073336896,2.83094927374223,0.102370767338128,27.6538834996877,2.50627704209025e-168,2.81887096608008e-166,"CCDC68","80323","coiled-coil domain containing 68"
"ENSG00000170759",4331.58598921615,-1.28569612915669,0.0465640555388442,-27.6113434338671,8.13216413344997e-168,9.07498691267182e-166,"KIF5B","3799","kinesin family member 5B"
"ENSG00000161800",563.92368811932,-2.79234251850079,0.101447213476394,-27.5250785390034,8.79806467437728e-167,9.74198107045e-165,"RACGAP1","29127","Rac GTPase activating protein 1"
"ENSG00000197565",563.648360733133,3.41293169943848,0.124025732101914,27.5179323000006,1.07130862520354e-166,1.17712095403133e-164,"COL4A6","1288","collagen type IV alpha 6 chain"
"ENSG00000166851",502.683929770066,-3.3292844270386,0.121046735747975,-27.504123977125,1.56715625825822e-166,1.70879847274506e-164,"PLK1","5347","polo like kinase 1"
"ENSG00000102225",1340.69055489962,-1.74230217200156,0.0634318671479499,-27.4673007486564,4.31765116115698e-166,4.67222190802775e-164,"CDK16","5127","cyclin dependent kinase 16"
"ENSG00000076706",1719.55770882045,-1.57937783521208,0.0575649523416064,-27.4364482374556,1.00824039400679e-165,1.08283502165361e-163,"MCAM","4162","melanoma cell adhesion molecule"
"ENSG00000113387",1168.42585268541,-2.03752500375627,0.0743027771020507,-27.421922614788,1.50254568743832e-165,1.60166885069917e-163,"SUB1","10923","SUB1 regulator of transcription"
"ENSG00000076641",954.690284174,2.03265609398859,0.0742409394709676,27.3791806579101,4.85432353059451e-165,5.13623387488978e-163,"PAG1","55824","phosphoprotein membrane anchor with glycosphingolipid microdomains 1"
"ENSG00000072041",2369.28278181903,5.09735332203113,0.186814833117032,27.2855920323941,6.28835886243668e-164,6.604626322871e-162,"SLC6A15","55117","solute carrier family 6 member 15"
"ENSG00000152223",2690.47150334747,-1.50605595184537,0.0553513622430258,-27.2090133072583,5.0808660078612e-163,5.29745182892624e-161,"EPG5","57724","ectopic P-granules 5 autophagy tethering factor"
"ENSG00000089685",509.548185635596,-3.09769268104576,0.113924514582984,-27.1907472450925,8.35605287282061e-163,8.64912023444707e-161,"BIRC5","332","baculoviral IAP repeat containing 5"
"ENSG00000111206",489.637006535011,-3.0232514504443,0.111246098772655,-27.1762469317931,1.23998873127813e-162,1.27424453507747e-160,"FOXM1","2305","forkhead box M1"
"ENSG00000136378",1190.06353560081,2.13136012870343,0.078696958433194,27.0831321964335,1.55599313005581e-161,1.58755756212265e-159,"ADAMTS7","11173","ADAM metallopeptidase with thrombospondin type 1 motif 7"
"ENSG00000075426",1241.54577193998,-2.02419124806103,0.0752783464834419,-26.8894222923224,2.92008154543941e-159,2.95818757411748e-157,"FOSL2","2355","FOS like 2, AP-1 transcription factor subunit"
"ENSG00000174574",1409.88985133804,-1.7444441922393,0.0649077193310724,-26.8757585417766,4.21831361111126e-159,4.24326701557135e-157,"AKIRIN1","79647","akirin 1"
"ENSG00000147883",1092.60954361111,2.17984384199889,0.0812122683107435,26.8413121236576,1.06535668315765e-158,1.06416467567999e-156,"CDKN2B","1030","cyclin dependent kinase inhibitor 2B"
"ENSG00000113319",1375.65463563177,1.72034816536394,0.0641023428270948,26.8375240200547,1.17953572013695e-158,1.17003390461363e-156,"RASGRF2","5924","Ras protein specific guanine nucleotide releasing factor 2"
"ENSG00000125384",562.779146692896,-2.72060649639305,0.101543131628924,-26.7926195770202,3.93892065115129e-158,3.88024431593414e-156,"PTGER2","5732","prostaglandin E receptor 2"
"ENSG00000119326",1060.1999959954,-2.06904400903346,0.0773524901117349,-26.7482534310757,1.29391878061282e-157,1.26591341522422e-155,"CTNNAL1","8727","catenin alpha like 1"
"ENSG00000167553",3002.80270522025,-1.43653015836555,0.053824567604107,-26.6891165560601,6.29617383725144e-157,6.11799640076868e-155,"TUBA1C","84790","tubulin alpha 1c"
"ENSG00000100106",1548.43376339178,-1.54579617129322,0.058060843757689,-26.623729027164,3.6067271831443e-156,3.48097912729954e-154,"TRIOBP","11078","TRIO and F-actin binding protein"
"ENSG00000125845",1172.2386809597,5.52533661138903,0.207771211150542,26.5933696049238,8.09914671383474e-156,7.76430950741043e-154,"BMP2","650","bone morphogenetic protein 2"
"ENSG00000167900",535.537322697115,-2.99320725107084,0.112694614149069,-26.5603398500616,1.95080073785839e-155,1.85768251597128e-153,"TK1","7083","thymidine kinase 1"
"ENSG00000091844",494.500786591075,2.80822445640146,0.105801528574333,26.5423807599195,3.14480750427536e-155,2.97486293980591e-153,"RGS17","26575","regulator of G protein signaling 17"
"ENSG00000205542",10772.7240037773,-1.36859579589689,0.0516538773567443,-26.4955094550748,1.09188725195528e-154,1.02608667808745e-152,"TMSB4X","7114","thymosin beta 4 X-linked"
"ENSG00000100647",1393.45153066727,1.7199487070597,0.0651913390881413,26.3830860221211,2.14246965299101e-153,2.00019846557671e-151,"SUSD6","9766","sushi domain containing 6"
"ENSG00000139318",1424.14713666972,1.67884597872981,0.0638618683699958,26.2887075117047,2.58180872720774e-152,2.39471141944385e-150,"DUSP6","1848","dual specificity phosphatase 6"
"ENSG00000042062",529.580434708431,3.5076842953055,0.133491770749995,26.2764084677156,3.5687206016415e-152,3.28874871444176e-150,"RIPOR3","140876","RIPOR family member 3"
"ENSG00000091409",2615.20252718009,-1.34486369616878,0.0511977946950535,-26.2680004906288,4.45230688265162e-152,4.07671484049973e-150,"ITGA6","3655","integrin subunit alpha 6"
"ENSG00000169439",2385.18491369971,1.32446117912444,0.0504301547422141,26.2632781099867,5.04116892443869e-152,4.586500440553e-150,"SDC2","6383","syndecan 2"
"ENSG00000134333",9887.50008844396,-1.01645886691342,0.0389234928533336,-26.1142768133247,2.51004994551968e-150,2.26921224188627e-148,"LDHA","3939","lactate dehydrogenase A"
"ENSG00000157227",22662.7967620428,1.09976390474526,0.0421803392396908,26.0729032665153,7.39991105061025e-150,6.64781946207024e-148,"MMP14","4323","matrix metallopeptidase 14"
"ENSG00000145386",450.26224000273,-3.10903319752378,0.11930323332629,-26.0599240342523,1.03842111231876e-149,9.27050448022576e-148,"CCNA2","890","cyclin A2"
